IDTEACH,TT3G01,TT3G07A,TT3G07D,TT3G07G,TT3G34B,TT3G34D,TT3G53E,TT3G53H
302115,1,2,3,2,2,2,2,1
302116,2,1,3,1,1,2, , 
302118,1,2,3,2,2,3,3,2
302120,1,3,2,2,1,1,2,1
302201,2,3,3,3,3,1,3,1
302202,1,1,3,3,1,3,3,1
302203,1,3,3,3,3,3,2,3
302204,1,2,3,2,3,3,3,1
302205,1,2,2,3,2,2,2,3
302206,1,1,1,2, , , , 
302207,1,3,3,3,3,3,2,1
302209,2,3,3,2,2,3,2,1
302210,1,2,3,3,2,2,2,1
302211,2,3,3,3,2,3,3,1
302301,1,2,3,3,2,3,2,1
302302,2,3,3,3,2,2,3,1
302303,2,3,3,3,2,3,2,1
302304,1,3,2,3,2,3,3,1
302305,2,3,3,3,3,3,3,3
302306,1,3,3,3, , , , 
302307,2,2,3,3,2,2,2,3
302308,1,3,3,3,3,2,2,2
302309,1,3,1,3,3,3,3,3
302310,1,3,3,3,2,3,3,1
302311,2,3,3,3,1,1,3,3
302312,1,3,3,3,3,3,3,1
302313,1,3,1,2,3,3,3,2
302314,2,3,2,3,3,3,3,3
302315,2,3,2,3,3,3,3,2
302316,2,2,3,3,3,2,3,1
302317,1,3,3,3,2,2,3,2
302318,1,3,3,3,3,3,3,1
302319,1,3,3,3,3,3,3,1
302320,2,3,2,2,3,2,3,3
302403,1,3,1,2,3,3,3,1
302404,1,2,3,2,1,2,2,1
302408,1,3,3,3,2,3,3,2
302410,1,2,1,3,2,3,3,1
302411,2,3,3,3,3,2,3,3
302413,1,2,2,2,1,1,3,2
302414,2,1,1,3,1,2,2,2
302415,2,1,2,2,1,2,2,3
302418,2,3,3,3,2,3,2,2
302419,1,3,3,2,2,3,3,1
302501,2,2,2,2,2,2,3,2
302504,1,1,1,3, ,1,2,1
302505,2,2,2,3,2,3,3,2
302506,1,2,1,3,3,3,2,1
302507,2,1,2,3,3,3,3,2
302508,2,2,1,3, , , , 
302509,2,2,2,2,2,3,1,3
302510,1,1,1,2,3,3,2,1
302511,1,2,3,2,1,3,2,1
302512,1,2,3,2, , , , 
302513,1,1,2,3,2,2,3,1
302514,2,2,2,3,2,2,2,3
302515,1,1,1,3,3,2,3,2
302516,1,2,2,3,2,2,3,1
302517,1,1,3,3,3,1,3,1
302520,2,1,2,3,3,3,2,1
302601,2,1,1,3,3,2,1,1
302602,1,1,2,2, , , , 
302604,1,3,2,2,3,3,2,1
302605,1,2,1,2,2,2,3,1
302606,1,3,3,3,3,2,2,3
302607,1,1,1,3, , , , 
302701,1,1,1,3,2,3,3,1
302702,1,3,3,3,3,3,2,2
302703,1,3,3,3,3,3,3,2
302704,1,3,3,3,3,3,3,1
302705,1,2,1,2,2,3,3,1
302706,2,2,1,1,2,2,3,1
302707,2,1,1,2,2,3,3,1
302708,2,3,1,3,2,2,3,1
302709,1,3,3,3, , , , 
302710,1,3,3,3,2,1,3,1
302711,2,2,3,3, , , , 
302712,1, , , , , , , 
302713,1,3,2,2,3,3,3,1
302714,2,2,1,3,2,3,3,1
302715,1,3,3,2,1,3,2,1
302716,1,2,3,3, , , , 
302717,1,1,2,3,3,3,3,1
302718,2,2,2,3,3,3,2,1
302719,2,3,3,3,2,2,3,2
302720,2,2,3,3,3,2,3,2
302801,1,2,2,3,3,3,3,1
302802,1,3,2,3,1,3,3,3
302803,1,3,2,3, , , , 
302804,1,3,2,3,3,3,2,1
302805,1,2,2,3,1,2,3,1
302806,2,2,2,3,2,3,3,2
302807,2,3,3,3, , , , 
302808,1,2,2,3, , ,2,1
302809,1,3,1,2,2,1,3,1
302901,1,2,2,3,1,2,2,2
302902,1,2,2,2,1,2,2,2
302903,2,2,2,2, , , , 
302904,1,3,2,3,2,1,2,1
302906,2,3,3,3,1,2,3,3
302907,1,1,1,3,1,3,3,2
302908,1,2,3,3,2,2,3,3
302909,2,2,3,3,3,2,3,2
302910,2,2,2,3,3,3,2,2
302911,1,2,2,3,1,1,3,1
302913,1,2,2,3,1,2,2,2
303001,1,2,3,3,2,2,2,1
303002,1,3,2,2,2,3,3,2
303003,1,3,2,3, , , , 
303004,1,2,3,3,3,1,2,1
303005,1,2,3,2,2,1,1,1
303006,1,3,3,3,3,3,3,3
303007,1,2,2,3,3,3,1,1
303008,1,3,3,3,2,2,2,3
303009,1,1,3,2,2,3,3,1
303010,1,3,3,3,3,3,3,1
303011,1,3,3,3,3,3,2,1
303012,2,2,3,3,2,2,3,2
303014,1,2,1,3,2,2,2,1
303015,1,3,1,3,3,3,1,1
303016,1,2,1,3,3,2,2,1
303017,1,1,1,3,2,2,3,2
303018,1,3,3,3,3,3,3,1
303019,1,2,2,3,2,3,2,1
303020,2,2,3,3,2,3, , 
303101,1,2,1,3,2,2,3,1
303102,1,2,2,2,3,1,3,1
303103,1,3,2,3,1,1,3,1
303104,2,2,1,3,2,3,2,1
303105,2,3,3,3,2,3,3,1
303106,1,3,1,3,3,2,3,1
303107,2,3,2,3,2,1,2,1
303108,1,1,2,3,3,2,3,2
303109,1,1,2,3,3,3,3,1
303110,1,3,2,2,1,2,3,1
303111,1,3,3,3,2,3,3,1
303112,1,2,2,3,2,3,1,1
303113,2,3,3,3,1,2,3,1
303114,1,3,3,3,3,3,3,1
303115,1,3,2,3,2,2,2,1
303116,1,3,3,2,1,2,3,1
303117,2,3,2,3, , , , 
303118,2,3,3,3,2,3,3,1
303119,1,2,2,3,2,2,2,1
303120,1,3,3,3,1,3,3,1
303201,1,1,3,3,1,1,3,1
303204,1,3,3,3,3,1,2,1
303205,1,2,2,3,1,2,1,1
303206,1,3,2,3, , , , 
303207,1,2,1,3,2,2,2,1
303208,2,2,2,3,2,1,2,1
303209,1,2,2,3,2,2,2,1
303210,2,1,3,3,1,2, , 
303211,1,3,3,2,2,3,2,2
303212,2,2,3,3,3,3,2,1
303213,1,3,3,2,1,2,2,2
303214,2,3,1,2,2,3,2,2
303215,2,2,3,2,2,1,1,2
303216,2,2,2,3,2,3,2,3
303218,1,3,3,3,1,2,2,1
303219,1,3,3,3,3,3,3,1
303220,1,2,2,3,1,3,2,1
303301,1,2,1,3,2,2,3,1
303302,1,3,3,3, , , , 
303303,2,3,3,3,3,2,3,2
303304,1,2,2,3,1,2,1,1
303305,1,2,1,3,2,2,3,1
303306,1,2,3,3,2,3,2,1
303307,1,3,3,3,3,2,1,1
303308,1,3,3,3,3,2,3,1
303309,1,3,3,3,2,2,2,1
303310,2,3,3,3,1,1,3,2
303311,1,3,3,3,2,1,2,1
303312,1, , , , , , , 
303314,1,1,1,3,1,2,2,1
303315,2,3,3,3,2,3,2,1
303316,2,2,1,3, , , , 
303317,2,3,3,3,3,3,2,1
303318,1,2,2,3,2,3,3,1
303319,1, , , , , , , 
303320,1,3,3,3,3,1,1,1
303402,1,3,1,3,3,2,3,2
303403,2,2,1,2,2,2,2,1
303404,2,3,1,3,3,3,3,1
303405,1,1,3,3,2,3,3,1
303406,1,3,2,3,3,1, , 
303407,2,3,1,3,3,3,3,2
303409,2,2,2,3,2,2,3,1
303410,1, , , , , , , 
303412,2,3,1,3,3,2,3,1
303501,2,2,3,3,2,2,2,1
303502,1,3,3,3,2,2,2,1
303504,1,2,2,2,2,1,2,1
303505,1,2,2,2,2,3, , 
303507,1,3,3,3, , , , 
303509,2,3,1,3,3,2,3,1
303511,1,2,1,3,2,3,2,1
303512,1,1,2,3,1,3,2,1
303513,2,3,1,3,2,3,3,2
303514,2,3,3,3,1,1,3,1
303515,1,1,1,3,2,1,3,1
303516,1,3,3,3,2,3,3,1
303517,2,3,3,2,2,1,3,1
303518,1,3,3,3, , , , 
303519,1,2,3,2,1,3,2,1
303520,1,2,2,3,2,2,3,3
303521,1,3,1,3,2,3,3,1
303522,1,3,3,3,2,2,2,1
303601,1,2,2,3,2,2,3,1
303602,2,3,3,3,3,3,3,1
303603,1,2,3,3,2,3,2,2
303606,1,1,1,3,3,3,2,1
303607,1,2,3,3,3,3,2,1
303608,2,2,2,3,2,2,3,2
303610,2,2,2,3,3,1,3,1
303611,1,3,2,3,2,2,2,1
303612,2,3,3,3,2,2,2,3
303614,1,3,3,3,2,2,3,2
303615,2,2,3,3, , , , 
303616,2,3,3,3,2,1,2,2
303617,1,1,2,3,3,3,1,1
303618,2,2,3,1,2,3,3,3
303620,2,2,2,3,2,1,1,2
303701,2,2,1,3,3,2,3,1
303702,1,1,2,2,1,1,2,2
303703,1,2,2,2,1,3,2,2
303704,1,2,3,3,3,3,3,2
303705,1,3,3,3,2,2,3,1
303706,1,2,1,3,1,1,2,1
303707,2,3,2,3,2,3,3,2
303708,1,2,2,2,2,3,3,1
303709,2,2,3,3,3,2,3,3
303710,1,2,3,3,3,1,3,1
303801,2,2,2,1,2,1,2,1
303802,1,3,3,2,3,3,3,2
303803,1,1,1,3,1,2,3,1
303804,2,2,2,2,1,3,3,2
303806,1,2,2,3,2,3,2,1
303807,2,3,3,2,1,1,2,1
303808,1,1,2,2,3,1,3,1
303809,1,2,1,2,2,1,3,1
303810,2,2,2,2,1,3,3,1
303811,2,3,2,3,2,2,3,2
303812,2,2,2,3,2,2,3,1
303813,2,3,1,3,2,2,2,1
303814,1,3,3,2,2,2,2,1
303815,1,3,2,3,1,3,2,1
303816,1,3,3,3,2,2,2,2
303817,1,3,3,3,2,2,2,1
303818,1,2,2,3,1,2,2,3
303819,1,3,3,3,3,2,2,2
303820,2,1,1,3,1,3,2,2
303821,1,2,2,3,2,2,2,1
303822,1,3,3,3,1,2,2,1
303901,2,2,2,3,2,3,1,3
303902,1,2,3,3,2,2,2,1
303903,2,2,1,3,3,3,2,3
303904,2,2,3,2,2,2,2,2
303905,2,3,2,3,3,3,3,1
303906,2,2,3,3,1,2,2,2
303907,1,2,3,3,2,2,3,2
303908,1,2,1,3,2,3,3,1
303909,1,3,3,3,2,2,2,1
303910,1,2,3,3,3,3,3,2
303911,1,2,3,3,2,2,2,1
303912,2,2,2,2,1,2,2,1
303914,1,1,2,3,1,1,3,2
303915,1,3,3,3,1,1, , 
303916,1,3,3,3,3,3,2,1
303917,1,2,3,3,3,2,2,1
304001,2,3,3,2,2,3,1,1
304002,2,1,2,2,2,2,3,1
304003,2,3,3,3,2,2,3,2
304004,2,3,3,2,1,3,2,1
304005,1,3,3,3,2,3,3,1
304006,1,1,2,3,2,1,3,2
304007,1,3,2,3,2,2,3,2
304008,2,1,3,3,3,3,3,3
304009,1,1,1,3,3,3,2,1
304010,2,1,1,3,3,1,3,3
304011,2,1,2,2,2,1,2,1
304012,2,2,2,3,3,1,3,1
304013,1,3,3,3,3,3,3,2
304014,2,3,2,3,2,2,2,3
304015,2,2,1,2,2,1,3,3
304016,1,3,2,3,3,3,3,3
304101,2,1,1,3,1,2,2,1
304103,1,2,2,3, , , , 
304104,2,2,2,3,3,3,2,3
304105,2,1,2,3,3,2,2,1
304106,1,2,2,3,1,1,2,1
304107,1,2,3,3, , , , 
304108,1,3,3,3, , , , 
304109,1,3,3,3, , , , 
304113,1,2,2,2,3,3,2,1
304114,1,2,1,3,2,2,2,1
304117,1,2,2,2,1,1,1,1
304119,2,1,3,3,3,2,2,3
304120,2,2,2,2,2,2,2,1
304201,1,3,3,3,2,2,2,2
304202,2,3,3,3,2,2,2,2
304203,2,1,3,2,2,2,1,1
304205,1,1,2,3,3,2,2,1
304207,1,3,3,2,2,3,2,1
304208,1, , , , , , , 
304209,1,3,3,3,1,2,2,1
304212,1,1,1,3,1,1,2,1
304216,1,2,3,3,3,2,1,1
304217,2,1,1,3,3,3,3,1
304218,1,1,1,3,3,3,3,1
304219,2,1,3,3,3,2,2,2
304220,1,3,1,2,1,1,2,1
304221,1,3,3,3,1,2,2,1
304223,2,3,3,3, , , , 
304224,2,3,3,3,2,3,3,2
304225,1,2,1,3, , , , 
304301,2,3,2,1,2,3,2,1
304302,1,2,1,3,1,2,3,1
304303,1,2,1,3,1,2,2,3
304304,1,3,2,2,1,2,2,1
304305,1,2,1,3,1,2,2,2
304306,1,3,2,3,1,3,3,1
304307,1,1,1,3,1,2,2,1
304308,2,3,3,3,1,2,2,2
304309,1,2,2,3,2,3,2,2
304310,1,3,3,3,3,3,3,1
304311,1,2,3,2,2,2,2,1
304312,1,3,3,3,2,3,3,1
304313,1,3,3,3,2,3,2,1
304314,2,2,2,3,3,3,2,1
304315,1,1,1,3,1,1,1,1
304316,1,3,1,3,2,2,2,1
304317,1,3,3,3,3,3,3,2
304318,1,3,2,3,3,3,2,1
304319,2,1,3,1,1,2,1,2
304320,2,2,1,3, , , , 
304401,1,3,3,3,3,1,3,1
304402,1,2,3,3,3,2,3,2
304403,2,1,1,2,2,3,2,1
304404,2,1,2,3,3,2,3,2
304405,1,3,3,3,3,2,2,2
304406,1,3,3,3,1,1,3,1
304407,1,3,1,3,3,3,3,1
304408,1,2,3,3, , ,2,1
304409,1,2,3,2,1,2,3,1
304410,1,2,2,3,3,3,3,2
304411,2,1,2,3,2,2,3,2
304502,1,2,2,3, , , , 
304503,1,3,1,3,2,3,3,2
304504,1,3,2,1,2,3,3,2
304505,1,3,3,3,3,3,3,2
304506,2,3,1,2,3,3,2,1
304507,1,3,3,3,3,3,3,2
304509,1,3,3,2,2,2,2,1
304511,1,1,1,3,2,3,2,2
304512,1,3,3,3,3,3,2,1
304513,1,1,3,3,3,3,1,1
304514,1,3,3,3,2,3,3,2
304515,1,2,3,2,1,3,2,1
304519,1,2,1,3,2,3,3,3
304520,1,3,2,3,2,2,1,2
304602,1,3,2,3,2,2,2,2
304603,1,3,3,3,3,3,3,3
304604,1,3,1,3,1,2,3,1
304605,2, , , , , , , 
304607,2,2,2,2,2,2,2,1
304608,1,1,1,3,2,2,3,1
304610,1,2,1,3,3,3,3,1
304611,1,2,2,3,2,2,2,2
304612,2,2,2,2,2,3,2,2
304613,1,1,1,3,3,3,2,1
304614,2,3,2,3,3,3,2,1
304615,1, , , , , , , 
304616,1,3,1,3,3,3,3,1
304701,1,2,2,3,3,1,3,2
304702,1,2,1,2,3,3,2,1
304703,1,2,2,2,3,2,2,1
304704,2,3,3,3,2,2,2,2
304705,1,3,2,3,1,2,2,2
304706,2,2,2,3,1,2,3,1
304707,1,2,1,3,3,1,2,1
304708,1,3,3,3, , , , 
304709,1,2,2,3,2,3,3,1
304710,2,3,1,3,1,2,2,1
304711,2,2,2,2,3,3, , 
304712,2,2,3,3,2,2,2,2
304713,1,3,1,3,3,3,2,1
304714,1,2,3,2,1,2,2,1
304715,2,2,3,3,2,3,3,1
304716,2,3,3,3,3,1,2,2
304717,1,3,2,2,2,3,3,1
304718,1,2,3,3,2,3,2,1
304719,2,2,2,3,2,3,1,2
304720,1,3,3,3,2,2,2,3
304801,1,3,3,2,2,3,3,2
304802,2,2,2,2,3,3,2,2
304803,1,3,3,3,3,3,3,1
304804,1,3,2,3,2,2,2,1
304805,1,3,3,3,3,3,2,1
304806,1,1,1,3,1,1,3,1
304807,1,3,2,3,3,2,2,3
304808,2,1,2,2,1,2,3,1
304809,1,3,3,3,1,2,2,1
304810,1,1,1,3,1,3,1,1
304811,1,3,1,3,3,3,2,1
304812,1,3,2,2,3,3,3,1
304813,1,2,1,1,2,3,2,1
304814,1,2,3,2,2,1,1,1
304815,2,2,3,3,3,1,1,1
304816,2,3,3,3,2,3,3,1
304817,2,3,3,3,2,3,2,1
304818,1,3,3,2,2,2,3,2
304819,1,2,3,2,3,2,3,2
304820,1,2,2,3,2,3,3,1
304901,1,3,3,2,1,2,2,1
304902,1,2,2,3,3,3,2,2
304903,1,3,1,1,2,2,2,1
304904,1,2,2,3,2,1,2,1
304905,1,3,2,3,1,1,3,2
304906,1,3,3,3,2,2,2,1
